#List of SDSS AGN from DR7 that are found in HSC survey, with their magnitudes 
#created on Feb 16, 2019
#code at https://github.com/nevencaplar/Variability/tree/master/HSC 
#@Neven Caplar, Princeton University 
#ncaplar@princeton.edu
# 
#SDSS ID 
#ra (SDSS) 
#dec (SDSS) 
#redshift 
#Delta g-band (g-band psf SDSS magnitude - g_psfflux_mag (HSC))  
#Delta g-band err (sqrt(g-band psf err (SDSS)**2+g_psfflux_magsigma (HSC)**2)) 
#g-band (SDSS - all SDSS magnitudes are psf magnitudes) 
#g-band err (SDSS)  
#r-band (SDSS)  
#r-band err (SDSS) 
#i-band (SDSS) 
#i-band err (SDSS)  
#ra (HSC)  
#dec (HSC)  
#g_cmodel_mag (HSC)  
#g_cmodel_magsigma (HSC)  
#r_cmodel_mag (HSC)  
#r_cmodel_magsigma (HSC)  
#i_cmodel_mag (HSC) 
# i_cmodel_magsigma (HSC)  
#g_psfflux_mag (HSC)  
# g_psfflux_magsigma (HSC) 
#r_psfflux_mag (HSC) 
#r_psfflux_magsigma (HSC) 
#i_psfflux_mag (HSC) 
#i_psfflux_magsigma (HSC) 
#object_id (HSC) 
  
000006.53+003055.2,0.02722,0.515341,1.8246,20.461,0.034,20.324,0.038,0.0206085,0.041014764,20.093,0.041,0.027217887,0.5153451,20.280323,0.0014670914,20.273754,0.0013479099,20.07159,0.0011084412,20.282253,0.0013819106,20.271421,0.0013236768,20.072392,0.0011004518,41645665054383856
000008.13+001634.6,0.0339,0.276301,1.8373,20.206,0.024,19.941,0.032,0.2168287,0.0320061,19.485,0.032,0.03391549,0.2763142,20.033905,0.0012052181,19.782574,0.00096397335,19.269001,0.0006285788,20.032269,0.0011212603,19.76217,0.000949195,19.268171,0.00062489597,41645656464458512
000012.25-003220.5,0.0511,-0.539047,1.4365,20.499,0.032,20.247,0.028,0.0168436,0.037020225,20.135,0.037,0.051086005,-0.5390418,20.44947,0.0018816304,20.163338,0.001317421,20.108034,0.0012317471,20.447994,0.0017199741,20.168938,0.0012982534,20.118156,0.0012234953,40576948342123440
000013.80-005446.8,0.0575,-0.913001,1.8499,20.219,0.034,20.058,0.027,-0.029027,0.030026412,19.592,0.03,0.057514008,-0.9129956,20.374018,0.0027744328,20.205341,0.0018204703,19.609337,0.0012688343,20.402294,0.0025247028,20.211226,0.001823927,19.621027,0.001259105,40576939752187664
000014.82-011030.7,0.06177,-1.1752,1.8877,19.36,0.032,19.313,0.022,-0.3057408,0.025077077,19.138,0.025,0.06176137,-1.1752081,19.681084,0.0022657188,19.558018,0.0016627202,19.449577,0.001989483,19.679102,0.0020937577,19.533405,0.0016340056,19.44374,0.001964631,40576935457214192
000015.47+005246.8,0.0645,0.879677,1.8516,19.604,0.023,19.531,0.022,0.3003085,0.03600291,19.188,0.036,0.06450473,0.87969387,19.029654,0.0006810548,19.097761,0.0006652046,18.88567,0.00046071163,19.029465,0.0006467315,19.098642,0.00065219036,18.887691,0.00045779272,41645673644319984
000017.88+002612.6,0.0745,0.436838,0.5457,19.9,0.028,19.849,0.031,-0.3086384,0.030018993,19.634,0.03,0.07453431,0.43684593,20.041357,0.0012807344,19.98373,0.00113682,19.713308,0.0010317808,20.121754,0.0012800153,20.182404,0.0011771685,19.942638,0.0010676926,41645660759422520
000030.37-002732.4,0.1266,-0.459003,1.8055,20.246,0.03,20.13,0.026,-0.3902473,0.030026462,19.823,0.03,0.12659106,-0.45900336,20.52969,0.0028166792,20.427477,0.0015302385,20.14306,0.0012459969,20.554249,0.0026193657,20.493332,0.0015294326,20.213247,0.0012603134,40576815198133592
000031.86+010305.2,0.1328,1.051464,1.0927,20.1,0.023,19.636,0.02,-0.1840138,0.030011509,19.586,0.03,0.13280104,1.0514648,20.018965,0.0011370598,19.653122,0.0010014628,19.78675,0.00083499646,20.001701,0.0010688859,19.65456,0.0009837945,19.770014,0.0008310366,41645540500332672
000032.70-005512.9,0.1362,-0.920264,1.5253,19.808,0.031,19.731,0.024,0.2710803,0.030013537,19.57,0.03,0.1362633,-0.92025656,19.576113,0.0017483605,19.439682,0.0011543683,19.291763,0.0009067648,19.57595,0.0015338073,19.438597,0.0011455824,19.29892,0.00090135273,40576802313233136
